time,wpm
1647915255.183161, 15.39
1647915285.2360973, 17.21
1647915514.0314076, 18.37
1647915532.2423859, 14.6
1647915578.567639, 16.69
1647915627.9262156, 17.87
1647915649.3671312, 20.27
1647915674.4121616, 17.77
1647916992.336696, 16.76
1647917832.1494844, 23.68
1647917848.5428042, 16.29
1647917868.0167928, 12.65
1647917887.0755527, 13.59
1647917904.298652, 20.2
1647917920.5256958, 15.47
1647918039.4037783, 20.94
1647918061.180972, 11.92
1647918218.7876415, 19.24
1647918255.1099422, 21.3
1647991499.512682, 22.97
1647992021.9536784, 21.49
1647992036.5383525, 22.98
1647992067.8803842, 18.36
1647992095.3176982, 18.42
1647992867.6810088, 18.8
1647992961.3813117, 20.38
1647993347.3848374, 16.95
1647994025.7338927, 25.45
1647994162.868647, 21.88
1647994311.8151438, 22.6
1647995214.984733, 19.81
1647995441.5855641, 20.67
1648047203.0500894, 24.05
1648047224.1619766, 24.14
1648047242.4333272, 28.13
1648047278.9937036, 27.33
1648047310.5574627, 28.21
1648047366.9205656, 21.18
1648047418.3901532, 24.39
1648047465.6959114, 25.59
1648047503.8175676, 29.63
1648047547.5524037, 26.74
1648047566.3841965, 26.9
1648047600.6717112, 25.15
1648047626.2273836, 24.25
1648047648.423559, 28.19
1648048812.3680758, 24.37
1648048966.67923, 27.08
1648049539.5386832, 34.12
1648049564.707844, 29.54
1648049591.0578218, 26.54
1648049674.47371, 30.4
1648049697.605557, 34.43
1648049716.8146439, 32.6
1648049739.6153567, 27.26
1648049758.550578, 32.86
1648049778.8002646, 30.42
1648049799.6695945, 31.47
1648049830.39262, 26.95
1648049859.4559355, 31.38
1648049882.1170611, 27.58
1648049922.596991, 29.65
1648049941.171307, 33.55
1648050252.0588503, 29.48
1648052560.3017964, 32.08
1648075379.240098, 30.37
1648075412.0848613, 25.14
1648075435.5628576, 27.14
1648075475.2856658, 20.04
1648075503.9657595, 21.88
1648075531.7574584, 29.23
1648075556.622647, 25.07
1648075576.1990354, 26.08
1648075601.1590004, 27.19
1648075627.2968664, 26.74
1648075930.8594716, 23.87
1648075947.8627398, 30.9
1648075973.1142733, 27.83
1648075995.1015058, 32.99
1648076019.1918573, 27.83
1648076035.8606644, 30.88
1648076067.9431405, 25.23
1648076083.5783076, 32.45
1648076115.8395019, 29.79
1648076135.8712344, 31.31
1648076174.0740547, 21.9
1648076197.8022172, 26.43
1648076218.907826, 29.17
1648076241.2161496, 28.01
1648076274.0289447, 30.97
1648076304.6177142, 21.66
1648076323.3813996, 33.9
1648076344.527405, 30.08
1648076363.4838746, 33.2
1648342760.35953, 23.33
1648342783.4605532, 26.69
1648342819.7656033, 16.78
1648342897.1474164, 30.89
1648342919.0472503, 28.28
1648344961.432054, 31.92
1648345549.7926304, 30.84
1648345608.2814612, 29.93
1648345661.9158015, 31.66
1648345850.4169946, 30.02
1648346349.4247952, 32.93
1648347423.2650592, 32.89
1648347483.012342, 35.63
1648347523.88329, 37.52
1648348045.1933568, 30.85
1648348810.1972964, 31.81
1648348939.7699072, 34.82
1648352219.1601677, 31.07
1648352271.1891153, 27.92
1648696413.7095637, 46.63
1648696458.7053132, 32.36
1648696497.7200654, 31.5
1648696562.5179503, 41.26
1648696595.4592874, 44.86
1648696647.2412252, 39.77
1648696684.658898, 39.82
1648696723.7234051, 37.67
1648696757.6827915, 39.13
1648696791.9418445, 35.9
1648696822.7626379, 40.08
1648696856.4558372, 36.43
1649904169.707956, 56.14
1649904189.8191073, 53.53
1649904216.2207181, 55.54
1649904253.537652, 52.96
1649904277.874718, 51.34
1651025452.286261, 60.82
1651026397.5480373, 62.72
1651027089.2600253, 59.01
1651027135.2215147, 56.49
1651950686.786879, 61.14
1651950707.1797478, 65.91
1651950728.001877, 60.98
1651955370.4835458, 89.58
1651955456.7926376, 77.93
1651955974.266361, 64.84
1651956012.5023198, 82.55
1652281265.0405314, 76.83
1653794326.425625, 87.57
1653794378.9964495, 78.0
1653794451.6098998, 85.95
1653794531.6784444, 80.25
1654832768.7229555, 77.75
1654832807.979514, 80.81
1654832851.0549936, 84.25
1654832947.0108607, 81.3
1654832995.4126282, 81.09
#1755139309.8068357, 107.64
